loan_id,age,income,loan_amount,credit_score,employment_years,debt_to_income,num_credit_lines,loan_purpose,home_ownership,label
1,32,55000,15000,720,5,0.25,3,personal,rent,approved
2,45,85000,30000,780,12,0.30,5,home,own,approved
3,28,42000,10000,650,2,0.35,2,auto,rent,approved
4,38,68000,22000,700,8,0.28,4,business,mortgage,approved
5,25,35000,8000,580,1,0.45,1,personal,rent,rejected
6,52,95000,40000,810,18,0.20,6,home,own,approved
7,30,48000,12000,680,4,0.32,3,auto,rent,approved
8,42,72000,25000,740,10,0.26,4,personal,mortgage,approved
9,23,28000,5000,550,0,0.50,1,personal,rent,rejected
10,48,88000,35000,790,15,0.22,5,home,own,approved
11,35,58000,18000,710,6,0.29,3,business,rent,approved
12,50,92000,38000,800,16,0.21,6,home,own,approved
13,27,40000,9000,640,2,0.38,2,auto,rent,approved
14,40,70000,24000,730,9,0.27,4,personal,mortgage,approved
15,24,30000,6000,560,0,0.48,1,personal,rent,rejected
16,55,98000,42000,820,20,0.19,7,home,own,approved
17,33,52000,14000,690,5,0.31,3,auto,rent,approved
18,44,75000,28000,750,11,0.25,5,business,mortgage,approved
19,26,32000,7000,570,1,0.46,1,personal,rent,rejected
20,51,90000,36000,795,17,0.23,6,home,own,approved
21,36,60000,20000,715,7,0.28,4,personal,rent,approved
22,49,86000,32000,785,14,0.24,5,home,own,approved
23,29,44000,11000,660,3,0.36,2,auto,rent,approved
24,41,74000,26000,745,10,0.26,4,business,mortgage,approved
25,22,26000,4000,540,0,0.52,1,personal,rent,rejected
26,54,96000,41000,815,19,0.20,7,home,own,approved
27,34,56000,16000,705,6,0.30,3,auto,rent,approved
28,46,78000,29000,760,12,0.25,5,personal,mortgage,approved
29,21,24000,3000,530,0,0.55,1,personal,rent,rejected
30,53,94000,39000,805,18,0.21,6,home,own,approved
